Step,Exact_Ref,Avg_Est,Std_Dev,Lower_Bound,Upper_Bound
500,500,499.228,5.87352,493.354,505.101
1000,1000,1002.84,8.20892,994.627,1011.04
1500,1500,1505.23,21.309,1483.92,1526.54
2000,2000,1995.39,21.5107,1973.88,2016.9
2500,2500,2490.34,30.7868,2459.55,2521.12
3000,3000,2992.06,30.8776,2961.18,3022.94
3500,3500,3483.57,30.4493,3453.12,3514.01
4000,4000,3975.53,63.9212,3911.61,4039.45
4500,4500,4474.19,63.2692,4410.92,4537.46
5000,5000,4962.51,69.4829,4893.02,5031.99
5500,5500,5464.63,92.7295,5371.9,5557.36
6000,6000,5976.15,108.164,5867.99,6084.32
6500,6500,6466.98,119.406,6347.57,6586.38
7000,7000,6944.86,110.124,6834.74,7054.98
7500,7500,7425.99,116.373,7309.61,7542.36
8000,8000,7937.32,108.614,7828.71,8045.94
8500,8500,8426.51,141.891,8284.62,8568.4
9000,9000,8917.8,166.157,8751.65,9083.96
9500,9500,9438.59,185.664,9252.93,9624.25
10000,10000,10028.1,280.123,9747.94,10308.2
10500,10500,10642.2,129.962,10512.2,10772.2
11000,11000,11080.6,146.097,10934.5,11226.7
11500,11500,11561,139.255,11421.7,11700.2
12000,12000,12038.2,154.592,11883.6,12192.8
12500,12500,12502.3,149.46,12352.9,12651.8
13000,13000,12985.7,172.587,12813.2,13158.3
13500,13500,13458,205.135,13252.9,13663.2
14000,14000,13925.6,205.569,13720,14131.2
14500,14500,14437.5,215.572,14221.9,14653.1
15000,15000,14942.2,220.642,14721.6,15162.9
15500,15500,15439.8,223.826,15216,15663.7
16000,16000,15926.8,199.721,15727,16126.5
16500,16500,16408.6,213.875,16194.7,16622.5
17000,17000,16913.7,238.568,16675.1,17152.2
17500,17500,17396,217.433,17178.6,17613.4
18000,18000,17867.6,183.676,17684,18051.3
18500,18500,18358.7,201.826,18156.9,18560.5
19000,19000,18832.9,241.061,18591.9,19074
19500,19500,19327.1,279.342,19047.8,19606.5
20000,20000,19839.7,295.044,19544.7,20134.8
20500,20500,20328,328.058,19999.9,20656.1
21000,21000,20863.6,319.075,20544.5,21182.6
21500,21500,21372.8,326.081,21046.7,21698.8
22000,22000,21862.4,311.823,21550.6,22174.2
22500,22500,22361,356.662,22004.4,22717.7
23000,23000,22893.8,348.651,22545.1,23242.4
23500,23500,23371.2,394.052,22977.2,23765.3
24000,24000,23844.8,420.903,23423.9,24265.7
24500,24500,24338.2,429.811,23908.4,24768
25000,25000,24818.9,403.709,24415.2,25222.6
25500,25500,25307.1,430.823,24876.3,25737.9
26000,26000,25816.1,472.855,25343.2,26288.9
26500,26500,26365.7,515.98,25849.7,26881.7
27000,27000,26873.2,528.155,26345,27401.4
27500,27500,27384.6,491.131,26893.5,27875.8
28000,28000,27941.2,490.97,27450.2,28432.2
28500,28500,28428.6,504.049,27924.6,28932.7
29000,29000,28958,531.447,28426.6,29489.5
29500,29500,29445.2,501.445,28943.8,29946.7
30000,30000,29942.1,528.597,29413.5,30470.7
30500,30500,30458.3,528.672,29929.7,30987
31000,31000,30958.7,612.199,30346.5,31570.9
31500,31500,31453.7,592.111,30861.6,32045.8
32000,32000,31955.2,602.485,31352.8,32557.7
32500,32500,32434.9,598.016,31836.9,33032.9
33000,33000,32929.5,541.498,32388,33471
33500,33500,33433.6,544.951,32888.6,33978.5
34000,34000,33931.1,561.603,33369.5,34492.7
34500,34500,34416.9,599.328,33817.6,35016.2
35000,35000,34955.2,581.187,34374,35536.4
35500,35500,35466.6,568.903,34897.7,36035.5
36000,36000,35966.3,557.519,35408.8,36523.8
36500,36500,36443.4,513.868,35929.5,36957.3
37000,37000,36927.1,518.405,36408.7,37445.5
37500,37500,37412.2,550.242,36861.9,37962.4
38000,38000,37929.5,538.579,37390.9,38468.1
38500,38500,38388.1,575.627,37812.5,38963.7
39000,39000,38882.7,560.566,38322.1,39443.2
39500,39500,39407.8,568.887,38838.9,39976.7
40000,40000,39941.3,569.452,39371.9,40510.8
40500,40500,40402.4,559.826,39842.6,40962.2
41000,41000,40892,570.412,40321.6,41462.4
